symbol,side,entry,tp,sl,updates
ETH,SHORT,2821.0,2690.0 | 2550.0,2878.0,"You can take first tp at 2733 | Eth stops breakeven @Illusion Notif | Good one
Book tp as per your wish 1R down | Good we closed our longs on time will make decision this time as quick as possible based on the pa lots of trade gonna be closed at entry but the ones we will hold will smash tp | Eigen Limit swing trade spot / low lev
Entry 1.483-1.4434
Sl 1.3365 daily close below 
Tp 2.33- 5.6 

@Illusion Notif 

Better try it spot or low leverage 2/3x only | Rate this setup 2R taking tp1 here @Illusion Notif
#「💸arena-testimonials」 | Btc short stops breakeven @Illusion Notif
Good morning guys scanning new setups"
RENDER,LONG,3.471,4.0 | 4.0,3.332,Btc 1R down booked full tp here @Illusion Notif
BTC,LONG,106010.0,112000.0,104300.0,
LDO,LONG,0.8815,0.988 | 1.174,0.82,"Remember no blind short at 112k will wait for proper trigger deviation for it i will share no worries
eth short tp smashed @Illusion Notif | Why crying i told to book tp at 2733"
LINK,LONG,13.288,13.8,13.0,
JASMY,LONG,0.01337,0.0147,0.012638,
FARTCOIN,LONG,1.21,1.2514 | 1.297 | 1.44,1.1723,Tp edited
AAVE,LONG,276.7,291.03 | 323.41 | 372.0,261.89,
SYRUP,LONG,0.47,0.491 | 0.535,0.455,"1R up stops at entry @Illusion Notif
You can book tp 1 whenever you want after 1R | Syrup tp1 smashed  1.5R @Illusion Notif | Done for the day ending the day with profit aave running and syrup booked some remaining be or full tp | Will book full tp of syrup at 0.512 3R there @Illusion Notif | Syrup full tp zmShed @Illusion Notif | Tp1 taken here on aave #「💸arena-testimonials」 @Illusion Notif"
LINK,LONG,13.63,15.124 | 17.494,12.93,Link going good hope i wake up next day on tp
WIF,LONG,0.886,1.0 | 1.211,0.835,
POPCAT,LONG,0.314,0.344 | 0.38 | 0.68,0.2929,
AVAX,SHORT,18.423,14.341,19.371,Stops breakeven @Illusion Notif
BONK,SHORT,0.0177,0.015482 | 0.0115,0.019,
SEI,LONG,0.19715,0.2585,0.1857,
ETHFI,LONG,1.2085,1.4333 | 1.86,1.1159,
LTC,LONG,87.7,96.4 | 119.0,82.85,
NEAR,LONG,2.4725,2.6 | 3.0,2.367,
BONK,LONG,0.01514,0.017 | 0.02,0.0143,20/20 tp  coming 🤧
STX,LONG,0.5766,0.6496 | 0.7147 | 0.7888,0.545,
UNI,SHORT,6.107,5.489 | 4.745,6.504,
AAVE,SHORT,252.5,227.59 | 199.0,267.5,"Bome short trade @Illusion Notif
Entry 0.001811-0.00183

Sl 0.001963
Tp"
SAGA,LONG,0.31,0.3515,0.2957,
SUI,LONG,3.3886,3.936,3.1748,
ETH,LONG,2770.0,2796.0 | 2832.0 | 2888.0,2744.0,"1R up stops be and tp1 @Illusion Notif
Sorry tp1 smashed
Will share more scalps in coming days
Based on small time frame
Finally first tp of the month"
LINK,LONG,15.05,17.387 | 20.656,14.08,"Closing all my setups here breakeven sui in small profit except btc short  is still running @Illusion Notif  will start fresh tomorrow
No need of holding too much setups at one | Btc idea will book full tp on btc short on box below @Illusion Notif"
ETH,SHORT,2821.0,2690.0 | 2550.0,2878.0,"You can take first tp at 2733 | Eth stops breakeven @Illusion Notif | Good one
Book tp as per your wish 1R down | Good we closed our longs on time will make decision this time as quick as possible based on the pa lots of trade gonna be closed at entry but the ones we will hold will smash tp | Eigen Limit swing trade spot / low lev
Entry 1.483-1.4434
Sl 1.3365 daily close below 
Tp 2.33- 5.6 

@Illusion Notif 

Better try it spot or low leverage 2/3x only | Rate this setup 2R taking tp1 here @Illusion Notif
#「💸arena-testimonials」 | Btc short stops breakeven @Illusion Notif
Good morning guys scanning new setups"
RENDER,LONG,3.471,4.0 | 4.0,3.332,Btc 1R down booked full tp here @Illusion Notif
BTC,LONG,106010.0,112000.0,104300.0,
LDO,LONG,0.8815,0.988 | 1.174,0.82,"Remember no blind short at 112k will wait for proper trigger deviation for it i will share no worries
eth short tp smashed @Illusion Notif | Why crying i told to book tp at 2733"
LINK,LONG,13.288,13.8,13.0,
JASMY,LONG,0.01337,0.0147,0.012638,
FARTCOIN,LONG,1.21,1.2514 | 1.297 | 1.44,1.1723,Tp edited
AAVE,LONG,276.7,291.03 | 323.41 | 372.0,261.89,
SYRUP,LONG,0.47,0.491 | 0.535,0.455,"1R up stops at entry @Illusion Notif
You can book tp 1 whenever you want after 1R | Syrup tp1 smashed  1.5R @Illusion Notif | Done for the day ending the day with profit aave running and syrup booked some remaining be or full tp | Will book full tp of syrup at 0.512 3R there @Illusion Notif | Syrup full tp zmShed @Illusion Notif | Tp1 taken here on aave #「💸arena-testimonials」 @Illusion Notif"
LINK,LONG,13.63,15.124 | 17.494,12.93,Link going good hope i wake up next day on tp
WIF,LONG,0.886,1.0 | 1.211,0.835,
POPCAT,LONG,0.314,0.344 | 0.38 | 0.68,0.2929,
AVAX,SHORT,18.423,14.341,19.371,"Stops breakeven @Illusion Notif
Stops at entry @Illusion Notif | Vanry 1R + up from our avg entry tp 1 taken here #「💸arena-testimonials」 @Illusion Notif
Like for next killer"
AXS,LONG,2.572,3.08,2.465,
AAVE,LONG,175.8,181.39 | 189.0 | 204.0,170.5,"2 sl smashed i guess we are in a loop 2 sl streak then 5-6 tp streak then again repeat @Illusion Notif
Anyway new trade droppin soon"
DOGE,LONG,0.1425,0.158 | 0.175,0.136,
TIA,LONG,2.384,2.537 | 3.227,2.259,
FART,LONG,0.9565,1.0144 | 1.2134,0.9118,"Fart coin tp1 smasmed @Illusion Notif
2R | Tia stops breakeven @Illusion Notif | Tia 1R + up tp 1 taken @Illusion Notif
#「💸arena-testimonials」
As tia both entry filled
It should 1R+
And 0.03 away from tp1"
AVAX,LONG,21.68,22.2 | 23.0 | 25.9,21.109,"2 sl -2R
Tia  5R
Fartcoin full tp 5R 
Avax 1R up running | Tp1 @Illusion Notif ❤️ | Tp 0.01956-0.0228 | 1R up stops breakeven @Illusion Notif
#「💸arena-testimonials」
Getting ready for next one | Avax tp2 smashed @Illusion Notif
Another 4.5R smashed | Gala tp1 smashed @Illusion Notif

#「💸arena-testimonials」 | Again same loop 2 sl and 5 tp😭
I hope i will break this curse this time
Praying 🙏"
APT,LONG,5.4835,6.578 | 7.7,5.223,Apt 4% up stops breakeven @Illusion Notif | Tia full tp @Illusion Notif
LDO,LONG,1.0915,1.1778 | 1.466,1.0328,"Apt tp1 aken almost 2R @Illusion Notif
Ldo stops at entry @Illusion Notif
Good morning ❤️❤️❤️
Getting ready for next one | Gala full tp smashed @Illusion Notif | Avax full tp smashed @Illusion Notif"
SOL,SHORT,179.0,160.0,186.22,"First tp at 171.76 1R there @Illusion Notif | Sol tp1 here @Illusion Notif
#「💸arena-testimonials」 if you have taken"
ARB,LONG,0.4379,0.459 | 0.5033 | 0.6558,0.4123,
DOGE,SHORT,0.237,0.2217 | 0.2 | 0.174,0.24969,
PENGU,LONG,0.0167,0.0178 | 0.0197 | 0.0248,0.01577,"1R up tp1 taken here #「💸arena-testimonials」 share your pnls and new trade within a hour @Illusion Notif | Tp hit within 15 min lol
https://tenor.com/view/shark-finding-nemo-bruce-grin-grinning-gif-27437427 | Doge more than 1R from entry tp1 taken @Illusion Notif"
ORCA,LONG,2.644,2.816 | 2.916 | 3.18,2.561,"Tp edited | Orca 1R up can take tp1 here and stops entry @Illusion Notif
#「💸arena-testimonials」 must"
AAVE,SHORT,224.7,204.0 | 181.0,236.25,"Okk that was 12 tp streak
Next target 20 tp streak | Entry 3.895-3.795
Sl  3.68
Tp 4.1172-4.698 | Took another L in sui  curse still in loop 2 sl streak after 11 tp onto next one @Illusion Notif"
PENGU,LONG,0.01218,0.013 | 0.0145,0.0118,Tp1 taken here @Illusion Notif
DOGE,LONG,0.22316,0.23956 | 0.309,0.21,"Took tp1 in doge onto next one @Illusion Notif | Tao limit long entry 380-378
Sl 362.4 
Tp manual 
@Illusion Notif"
SOL,LONG,161.5,179.0,158.48,"Trade update last week 
Axs long sl -1R
Aave long sl -1R 
Tia long full tp 6R
Fartcoin full tp 6R
Avax long trade full tp 10R
Gala long full tp 5R
Apt tp1 2R
Ldo long stopped be 
Sol short trade tp1 1R
Atom long close be
Arb long close be 
Doge short trade tp1 1R
Pengu long 1R
Orca long tp1 1R
Aave short sl hit -1R
Sui long sl hit -1R
Pengu long tp1 5R
Doge long tp1 1R

Total trade. 18
Sl 4 
Be 3
Tp 11 

Profit 35R


@Illusion Notif | 1R+ up tp1 taken here @Illusion Notif | Ton long trade 
Entry 2.990-936
Sl 2.837
Tp manual 
@Illusion Notif"
PEPE,LONG,13576.0,14865.0,12982.0,
FWOG,LONG,0.08478,0.09286,0.08044,"Flood the #「💸arena-testimonials」 pnls when it will smash tp ❤️ | Pepe 3% up move pepe sl to 13244  now only 2.5% sl @Illusion Notif  not putting at breakeven as its might hunt be

Got it?? | Dyamn Fwog tp1 smashed @Illusion Notif | Wake up smash tp and go to sleep
Daily routine | Pepe more than 1R up put stops at entry tp1 taken @Illusion Notif
#「💸arena-testimonials」
Done for the day
Good night ❤️"
STX,LONG,0.973,1.0393 | 1.9271,0.92,"After tp flood #「💸arena-testimonials」 with pnls and you will get next setup right after it
For now hitting gym | Hello guys fwog sl smashed my bad jumped in early onto next one -1R we had 7 tp streak before that @Illusion Notif"
SHIB,LONG,1.41e-05,1.463e-05 | 1.8e-05,1.365e-05,Stops breakeven @Illusion Notif | Shib tp1 smashed @Illusion Notif
FART,LONG,1.43,1.5647 | 1.75,1.3422,
SUI,LONG,3.3907,3.656 | 3.98,3.2276,
PYTH,LONG,0.1363,0.146 | 0.2257,0.1278,
GOAT,LONG,0.1575,0.169,0.149,
LTC,LONG,96.65,106.3 | 118.0,92.75,"Doing some backtesting and improving myself always been my part of journey from day one
Sl hit on this one
3 sl streak time for bring back the tp streak"
WLD,LONG,1.1925,1.36 | 1.82,1.09,"May trade update



Axs long sl -1R
Aave long sl -1R 
Tia long full tp 6R
Fartcoin full tp 6R
Avax long trade full tp 10R
Gala long full tp 5R
Apt tp1 2R
Ldo long stopped be 
Sol short trade tp1 1R
Atom long close be
Arb long close be 
Doge short trade tp1 1R
Pengu long 1R
Orca long tp1 1R
Aave short sl hit -1R
Sui long sl hit -1R
Pengu long tp1 5R
Doge long tp1 1R
Sol tp1 3R full profit booked 
Ton closed be 
Fwog tp1 2R
Pepe tp1 1R
Stx closed be 
Shib tp1 1R
Fart coin sl -1R
Pyth closed be 
Goat sl -1R
Hype sl -1R
Wld long sl -1R


Total trade  29
Sl 8 
Be 6 

Profit 38R 



Done n dusted may onto next month i know last days were hard but you know how we finished overall this month ❤️

@Illusion Notif"
BONK,SHORT,0.0177,0.015482 | 0.0115,0.019,
SEI,LONG,0.19715,0.2585,0.1857,
ETHFI,LONG,1.2085,1.4333 | 1.86,1.1159,
LTC,LONG,87.7,96.4 | 119.0,82.85,
NEAR,LONG,2.4725,2.6 | 3.0,2.367,
BONK,LONG,0.01514,0.017 | 0.02,0.0143,20/20 tp  coming 🤧
STX,LONG,0.5766,0.6496 | 0.7147 | 0.7888,0.545,
UNI,SHORT,6.107,5.489 | 4.745,6.504,
AAVE,SHORT,252.5,227.59 | 199.0,267.5,"Bome short trade @Illusion Notif
Entry 0.001811-0.00183

Sl 0.001963
Tp"
SAGA,LONG,0.31,0.3515,0.2957,
SUI,LONG,3.3886,3.936,3.1748,
ETH,LONG,2770.0,2796.0 | 2832.0 | 2888.0,2744.0,"1R up stops be and tp1 @Illusion Notif
Sorry tp1 smashed
Will share more scalps in coming days
Based on small time frame
Finally first tp of the month"
LINK,LONG,15.05,17.387 | 20.656,14.08,"Closing all my setups here breakeven sui in small profit except btc short  is still running @Illusion Notif  will start fresh tomorrow
No need of holding too much setups at one | Btc idea will book full tp on btc short on box below @Illusion Notif"
ETH,SHORT,2821.0,2690.0 | 2550.0,2878.0,"You can take first tp at 2733 | Eth stops breakeven @Illusion Notif | Good one
Book tp as per your wish 1R down | Good we closed our longs on time will make decision this time as quick as possible based on the pa lots of trade gonna be closed at entry but the ones we will hold will smash tp | Eigen Limit swing trade spot / low lev
Entry 1.483-1.4434
Sl 1.3365 daily close below 
Tp 2.33- 5.6 

@Illusion Notif 

Better try it spot or low leverage 2/3x only | Rate this setup 2R taking tp1 here @Illusion Notif
#「💸arena-testimonials」 | Btc short stops breakeven @Illusion Notif
Good morning guys scanning new setups"
RENDER,LONG,3.471,4.0 | 4.0,3.332,Btc 1R down booked full tp here @Illusion Notif
BTC,LONG,106010.0,112000.0,104300.0,
LDO,LONG,0.8815,0.988 | 1.174,0.82,"Remember no blind short at 112k will wait for proper trigger deviation for it i will share no worries
eth short tp smashed @Illusion Notif | Why crying i told to book tp at 2733"
LINK,LONG,13.288,13.8,13.0,
JASMY,LONG,0.01337,0.0147,0.012638,
FARTCOIN,LONG,1.21,1.2514 | 1.297 | 1.44,1.1723,Tp edited
AAVE,LONG,276.7,291.03 | 323.41 | 372.0,261.89,
SYRUP,LONG,0.47,0.491 | 0.535,0.455,"1R up stops at entry @Illusion Notif
You can book tp 1 whenever you want after 1R | Syrup tp1 smashed  1.5R @Illusion Notif | Done for the day ending the day with profit aave running and syrup booked some remaining be or full tp | Will book full tp of syrup at 0.512 3R there @Illusion Notif | Syrup full tp zmShed @Illusion Notif | Tp1 taken here on aave #「💸arena-testimonials」 @Illusion Notif"
LINK,LONG,13.63,15.124 | 17.494,12.93,Link going good hope i wake up next day on tp
WIF,LONG,0.886,1.0 | 1.211,0.835,
POPCAT,LONG,0.314,0.344 | 0.38 | 0.68,0.2929,
AVAX,SHORT,18.423,14.341,19.371,Stops breakeven @Illusion Notif
